,Unnamed: 0,id,tipo_documento_especialista,texto,label,subset,label_revisada,tipo_documento_especialista_3
150,150,150,,"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 06/11/2019 s 13:40 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Paracuru, 5 de setembro de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
151,151,151,,"Processo n 3000725-98.2019.8.06.0075 EXEQUENTE: ASSOCIACAO TERRAS ALPHAVILLE CEARA 2 EXECUTADO: JERIMIA ARAUJO FURTADO DECISÃO Recebi hoje. Cuida-se de Execução Extrajudicial, sob o pálio da Lei 9.099/95. Considerando a disposição inserta no art. 784, X, do Código de Processo Civil;CITE-SE,via postal, nos moldes do disposto no art. 829, do referido diploma processual. Frustrada a ordem de citação, intime-se a parte Exequente para a necessária manifestação. Deixo de fixar honorários advocatícios, nos termos da legislação processual civil, em face das diretrizes traçadas pelo art. 55, inclusive seu parágrafo único, que permitem uma fiel interpretação, de sorte a se aquilatar a vontade do legislador, na espécie. Expedientes necessários. Eusébio/CE, 13/11/2019. FLÁVIA PESSOA MACIEL Juíza Titular",Despacho ou decisão saneador(a),test,Outro,Outro
152,152,152,,"ESTADO DO CEARÁ PODER JUDICIÁRIO 9a. UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL Av Alm. Maximiamo da Fonseca, 1395 - Bairro Luciano Cavalcante - CEP 60.811-020 - Fone/Fax: 3488.6117 9 Juizado Especial Cível e Criminal PROCESSO N 3000327-13.2019.8.06.0024 AUTOR: MARIA AILA KAYATT MACEDO RÉU: TIM CELULAR S.A. R.h. Não há o que se corrigir ou aclarar na decisão interlocutória que deferiu a medida liminar pretendida pela parte autora. Equivoca-se a empresa promovida de que foi condenada em danos morais, haja vista que o processo ainda não foi sentenciado. Indefiro, portanto, a petição juntada pela promovida, mantendo a decisão em todos os seus termos. Intime-se e voltem os autos para a fila de julgamento. Fortaleza, data e assinatura digital José Evandro Nogueira Lima Filho Juiz de Direito",Despacho ou decisão saneador(a),test,Outro,Outro
153,153,153,Despacho ou decisão saneador(a),"DECISÃO Para o fim de prevenir eventual alegação de nulidade, chamo o feito ordem e determino que seja reabilitado como advogado da promovida US Arways, Inc. o Dr. Adriano Campos Costa (OAB/CE n 10.284), a quem deve ser dirigida a intimação quanto ao despacho de Id. 14911581, ficando restituído, no azo, o prazo para eventuais embargos. Tenho que a medida é necessária, em razão de o referido causídico ter sido habilitado como advogado da promovida desde o inicio do feito (evento 25 do PROJUDI), constatando-se que, em razão de um substabelecimento, com reservas, juntado no evento 61 (Id. 7926840) em favor do advogado Rennan Lobo Xenofonte (OAB/CE n 24.230), a Secretaria do Juízo procedeu exclusão do advogado Adriano Campos Costa (no evento 63), aludindo a uma possível renúncia ao mandato, a qual, a rigor, não está documentada nos autos. Cumpra-se. Fortaleza, 10 de junho de 2019. Juiz Marcelo Roseno de Oliveira TITULAR",Despacho ou decisão saneador(a),test,Outro,Outro
155,155,155,Despacho ou decisão saneador(a),"Processo n 3000660-06.2019.8.06.0075 EXEQUENTE: CONDOMINIO VANGARDEN EXECUTADO: DIEGO HOLANDA DE MEDEIROS DECISÃO Recebi hoje. Cuida-se de Execução Extrajudicial, sob o pálio da Lei 9.099/95. Considerando a disposição inserta no art. 784, X, do Código de Processo Civil;CITE-SE,via postal, nos moldes do disposto no art. 829, do referido diploma processual. Frustrada a ordem de citação, intime-se a parte Exequente para a necessária manifestação. Deixo de fixar honorários advocatícios, nos termos da legislação processual civil, em face das diretrizes traçadas pelo art. 55, inclusive seu parágrafo único, que permitem uma fiel interpretação, de sorte a se aquilatar a vontade do legislador, na espécie. Expedientes necessários. Eusébio/CE, 13/11/2019. FLÁVIA PESSOA MACIEL Juíza Titular",Despacho ou decisão saneador(a),test,Outro,Outro
156,156,156,Despacho ou decisão saneador(a),"ESTADO DO CEARÁ PODER JUDICIÁRIO JUIZADO ESPECIAL CÍVEL E CRIMINAL COMARCA DE ARACATI Rua Cel. Alexandrino, 1244, Centro - Aracati/CE. Tel. (88) 3421-4150. E-mail: aracati.jecc@tjce.jus.br Proc. n. 3000244-61.2019.8.06.0035 DECISÃO. As partes se subsumem aos conceitos de consumidor e fornecedor previstos nos arts. 2 e 3 da norma consumerista. Nesse contexto, e considerando a vulnerabilidade técnica e informacional da autora, inverto o ônus da prova em desfavor da parte ré e determino a ela que traga aos autos no prazo de 15 (quinze) dias todos os elementos de que disponha para esclarecimento dos fatos narrados na inicial (CDC, art. 6, VIII), notadamente acerca das razões para a negativa da venda dos produtos. A despeito disso, entendo necessária a realização de audiência de instrução, ora designada para acontecer em dia e horário agendados pela Secretaria do Juízo, a fim de que seja dirimida, tanto quanto possível, a controvérsia no que se refere retomada dos bens já entregues parte autora. Intimem-se as partes para a aludida audiência advertindo-as quanto a necessidade de comparecimento pessoal a fim de prestarem depoimento sob pena de confesso (CPC, art. 385, 1), sem prejuízo da necessidade de trazerem as testemunhas que tiverem, independentemente de intimação (Lei n. 9.099/95, art. 34). A parte autora poderá se manifestar acerca da contestação até audiência de instrução sob pena de preclusão. Expedientes necessários. Aracati/CE, 27 de junho de 2019 Tony Aluísio Viana Nogueira Juiz de Direito Titular",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
157,157,157,,"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. De fato, há multiplicidade de ações em nome das mesmas partes, sendo o caso de reunião dos processos, na forma do art. 55, parágrafo 1 do CPC. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 04/11/2019 s 09:45 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Paracuru, 4 de setembro de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
158,158,158,Despacho ou decisão saneador(a),"ESTADO DO CEARÁ PODER JUDICIÁRIO JUIZADO ESPECIAL CÍVEL E CRIMINAL COMARCA DE ARACATI Rua Cel. Alexandrino, 1244, Centro - Aracati/CE. Tel. (88) 3421-4150. E-mail: aracati.jecc@tjce.jus.br Proc. n. 3000592-16.2018.8.06.0035 Parte autora: JOSE VALDENE FREITAS DE SOUZA; Parte demandada: MAGAZINE LUIZA S/A; Parte demandada: LUIZA ADMINISTRADORA DE CONSORCIOS LTDA. DECISÃO. Preliminares. Conforme sedimentado no âmbito do e. STJ que ""...o exame da legitimidade ad causam e do interesse processual deve ser realizado in status assertionis, ou seja, luz das afirmações do autor constantes na petição inicial, sem qualquer inferência sobre a veracidade das alegações ou a probabilidade de êxito da pretensão deduzida (REsp. 1.400.607. Relator: Ministro Luís Felipe Salomão)"". E a partir das alegações autorais não é possível concluir pela ausência de pertinência subjetiva de qualquer das demandadas. Obviamente que essa conclusão não implica necessariamente no acolhimento dos pedidos o que dependerá da análise do conjunto probatório. Com esses argumentos rejeito a preliminar de ilegitimidade passiva esgrimida por ambas demandadas. Ainda nesse contexto, tenho que a demanda deve ser resolvida luz do CDC, já que as partes se subsomem aos conceitos de consumidor e fornecedor previstos nos arts. 2 e 3 da norma consumerista. Por isso e também considerando a hipossuficiência técnica e informacional da autora inverto o ônus da prova em desfavor das rés conforme autoriza o CDC no seu art. 6, VIII. Essa circunstância objetiva conferir s partes paridade de armas. Por isso, a autora não se encontra exonerada de demonstrar os fatos constitutivos do seu direito. Logo, a fim de esclarecer, dentre outros pontos, alega situação vexatória a que foi submetido por prepostos da ré, assim como, a dinâmica envolvendo a emissão da nota fiscal de compra e as razões pelas quais o DETRAN teria se recusado a documentar o veículo descrito na inicial, designo audiência de instrução para acontecer em dia e horário agendados pela Secretária do Juízo e para a qual as partes deverão ser intimadas com a brevidade necessária com advertência da necessidade de comparecimento pessoal a fim de prestarem depoimento, assim como, de trazerem as testemunhas que tiverem. Expedientes necessários. Aracati/CE, 27 de junho de 2019 Tony Aluísio Viana Nogueira Juiz de Direito Titular",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
159,159,159,Despacho ou decisão saneador(a),"ESTADO DO CEARÁ PODER JUDICIÁRIO TRIBUNAL DE JUSTIÇA JUIZADO ESPECIAL CÍVEL E CRIMINAL COMARCA DE ARACATI Rua Cel. Alexandrino, 1244, Centro - Aracati/CE. Tel. (88) 3421-4150. E-mail: aracati.jecc@tjce.jus.br AUTOS N. 3000490-57.2019.8.06.0035 DECISÃO Intime-se a parte autora para, no prazo de 15 (quinze) dias, emendar a inicial, sob pena de indeferimento desta, no sentido de trazer aos autos os extratos legíveis da sua conta bancária, por meio da qual recebe os proventos do seu benefício previdenciário, referente ao período que compreende os 03 (três) meses anteriores e 03 (três) meses posteriores ao início (17/02/2017) do contrato discutido nos autos, bem como cópia legível do histórico de consignações. Decorrido referido prazo, com ou sem manifestação, certifique-se, retornando os autos conclusos. Intimações e expedientes necessários. P.R.I. Aracati-CE, 27 de junho de 2019. Tony Aluísio Viana Nogueira Juiz de Direito Titular",Despacho ou decisão saneador(a),test,Outro,Outro
160,160,160,,"R. h. Intime-se a parte autora para acostar aos fólios nova planilha de cálculo, decotando-se o importe referente aos honorários advocatícios, vez que incompatível com a Lei de Regência (art. 55); asseverando que o Código de Processo Civil é utilizado apenas de forma subsidiária nesse microssistema, princípio da especificidade. Cumpra-se, sob pena de extinção. Fortaleza, 08 de outubro de 2019. Walberto Luiz de Albuquerque Pereira Juiz de Direito, respondendo",Despacho ou decisão saneador(a),test,Outro,Outro
